Route,Grade,Grade band,Discipline,Grade system,Area,Wall,Source,Latitude,Longitude,Row Key,Notion Page ID,Status
Höhlenquerung,6,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Höhlenquerung,,to create
Eine hab ich noch,7+/8-,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Eine hab ich noch,,to create
Fensterlgalerie,5,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Fensterlgalerie,,to create
Open Window,7-,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Open Window,,to create
Via Nelly,4-,1-4,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Via Nelly,,to create
Var (Naglplatten b),7-,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Var (Naglplatten b),,to create
Notnagl,7+,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Notnagl,,to create
Linksdrall,7-,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Linksdrall,,to create
Naglverschneidung,6,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Naglverschneidung,,to create
Untere Naglkante,6+,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Untere Naglkante,,to create
Untere Naglplatte,5+,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Untere Naglplatte,,to create
Megafilou,7,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Megafilou,,to create
Viel Spass und Vergnügen,6+,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Viel Spass und Vergnügen,,to create
Var (Naglplatten c),6+,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Var (Naglplatten c),,to create
Chaos Direkt,7-,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Chaos Direkt,,to create
Heilsteig,6+,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Heilsteig,,to create
Alte neue Direkte,7-,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Alte neue Direkte,,to create
Eile mit Weile,7,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Eile mit Weile,,to create
Bibi Blocksberg,7,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Bibi Blocksberg,,to create
Heimattreu,6,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Heimattreu,,to create
Plattenabschied,6,5-7,sport,UIAA,Hohe Wand,Naglplatten,Österreich Ost,,,Hohe Wand | Naglplatten | Plattenabschied,,to create
Quereinsteiger,8,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Quereinsteiger,,to create
Hundstage,8,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Hundstage,,to create
Freunde Baba,9+,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Freunde Baba,,to create
Slick & Pain,8+,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Slick & Pain,,to create
Mit Alles,8,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Mit Alles,,to create
Zwingherr,9-,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Zwingherr,,to create
Capri Sun,8-,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Capri Sun,,to create
Grischnack,7+,5-7,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Grischnack,,to create
Müllertour,8-,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Müllertour,,to create
Weisse Pulver,7+/8-,5-7,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Weisse Pulver,,to create
Kriegskunst,7+,5-7,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Kriegskunst,,to create
Salami,6+,5-7,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Salami,,to create
Namenloser Geist,8,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Namenloser Geist,,to create
Namenlos (Engelsberg a),8-/8,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Namenlos (Engelsberg a),,to create
Must noch wachsen,8+,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Must noch wachsen,,to create
Gruppenkuscheln,6,5-7,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Gruppenkuscheln,,to create
Bohrneider,8,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Bohrneider,,to create
Atemlos durch die Tour,8-,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Atemlos durch die Tour,,to create
Lilly vs Willy,8-,8-11,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Lilly vs Willy,,to create
Herzen brechen nicht,7-,5-7,sport,UIAA,Fischauer Vorberge,Engelsberg,Österreich Ost,,,Fischauer Vorberge | Engelsberg | Herzen brechen nicht,,to create
Slab & Mantle,8-,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Slab & Mantle,,to create
Ruckreisemanager,7,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Ruckreisemanager,,to create
Engelberg Humperdinck,9+,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Engelberg Humperdinck,,to create
Please Release Me,10,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Please Release Me,,to create
Like Spain,10-,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Like Spain,,to create
The Best of the Rest,8+,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | The Best of the Rest,,to create
Fang das Griff,8,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Fang das Griff,,to create
Wolfsriss,6,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Wolfsriss,,to create
This Is the End,8,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | This Is the End,,to create
Balla Balla,9,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Balla Balla,,to create
Waldpfad,5c trav,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Waldpfad,,to create
Traktor,6c trav,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Traktor,,to create
Alpinist,6,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Alpinist,,to create
Kalte Finger,6-,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Kalte Finger,,to create
Pestpfeiler,6+,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Pestpfeiler,,to create
Namenlos (Kl.Engelsberg a),6,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Namenlos (Kl.Engelsberg a),,to create
Namenlos (Kl.Engelsberg b),6,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Namenlos (Kl.Engelsberg b),,to create
Kamelbuckeln,7-,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Kamelbuckeln,,to create
Muss man halt mögen,7-,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Muss man halt mögen,,to create
Und täglich grüsst das Murmeltier,7+/8,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Und täglich grüsst das Murmeltier,,to create
Namenlos (Kl.Engelsberg c),8-,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Namenlos (Kl.Engelsberg c),,to create
Namenlos (Kl.Engelsberg d),8-,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Namenlos (Kl.Engelsberg d),,to create
Kalium,9-,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Kalium,,to create
Schöner Wald,8-,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Schöner Wald,,to create
Lithium,8,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Lithium,,to create
Kurzer Kamin (Kl.Engelsberg),5,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Kurzer Kamin (Kl.Engelsberg),,to create
Dromedar,6+,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Dromedar,,to create
Fleischwald,5,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Fleischwald,,to create
Skaldensang,6,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Skaldensang,,to create
Reisewinter,7,5-7,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Reisewinter,,to create
Mac Gepp,8+,8-11,sport,UIAA,Fischauer Vorberge,Kleiner Engelsberg,Österreich Ost,,,Fischauer Vorberge | Kleiner Engelsberg | Mac Gepp,,to create
Glückliche Raben,7,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Glückliche Raben,,to create
Strafplanet,7+,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Strafplanet,,to create
Gedenkweg,5,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Gedenkweg,,to create
Namenlos (Marmor a),7,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Namenlos (Marmor a),,to create
Snake,6,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Snake,,to create
Rutschpartie,7,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Rutschpartie,,to create
Naturfreundeverschneidung,4+,1-4,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Naturfreundeverschneidung,,to create
Grummkiwi,5+,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Grummkiwi,,to create
Grünkiwi,5-,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Grünkiwi,,to create
Sid,5,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Sid,,to create
Scrat,5,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Scrat,,to create
Scrat Junior,5+,5-7,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Scrat Junior,,to create
Trollnase,4-,1-4,sport,UIAA,Fischauer Vorberge,Marmorsteinbruch,Österreich Ost,,,Fischauer Vorberge | Marmorsteinbruch | Trollnase,,to create
Vavö,7,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Vavö,,to create
Döwi,6+,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Döwi,,to create
Stolperstein,4+,1-4,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Stolperstein,,to create
Kasperlpost,6,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Kasperlpost,,to create
Roter Riss,7+,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Roter Riss,,to create
Im Maschinenraum,8,8-11,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Im Maschinenraum,,to create
Rostgewitter,7,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Rostgewitter,,to create
Aschenregen,6+,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Aschenregen,,to create
Aschensegen,5+,5-7,sport,UIAA,Fischauer Vorberge,Willendorfer Wandl,Österreich Ost,,,Fischauer Vorberge | Willendorfer Wandl | Aschensegen,,to create
PC-Wandl 1,7,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 1,,to create
PC-Wandl 2,7-,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 2,,to create
PC-Wandl 3,7+,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 3,,to create
PC-Wandl 4,7-,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 4,,to create
PC-Wandl 5,6+,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 5,,to create
PC-Wandl 6,6+,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 6,,to create
PC-Wandl 7,7+,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 7,,to create
PC-Wandl 8,8-,8-11,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 8,,to create
PC-Wandl 9,8-,8-11,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 9,,to create
PC-Wandl 10,5-,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 10,,to create
PC-Wandl 11,5+,5-7,sport,UIAA,Fischauer Vorberge,PC-Wandl,Österreich Ost,,,Fischauer Vorberge | PC-Wandl | PC-Wandl 11,,to create
Greta Thunfisch,6,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Greta Thunfisch,,to create
Ihr glaubt auch alles,6,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Ihr glaubt auch alles,,to create
Ürx,3,1-4,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Ürx,,to create
Alpentarzan,4,1-4,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Alpentarzan,,to create
KRX,4,1-4,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | KRX,,to create
Lupotour,7-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Lupotour,,to create
Klagemauer,8/9,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Klagemauer,,to create
Hansi Hopp,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Hansi Hopp,,to create
Weg durch den Fisch,6,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Weg durch den Fisch,,to create
Muhriris,6-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Muhriris,,to create
Simaplatte,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Simaplatte,,to create
Lächelt viel,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Lächelt viel,,to create
Direkter Einstieg (Bad Fischau a),7+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Direkter Einstieg (Bad Fischau a),,to create
Wilde Welt,7+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Wilde Welt,,to create
Kantka,8-/8,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Kantka,,to create
Zappa,7+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Zappa,,to create
Schöne Tage,5,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Schöne Tage,,to create
Schräge,6,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Schräge,,to create
Silberpfeil,8,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Silberpfeil,,to create
Cheap Thrills,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Cheap Thrills,,to create
In the Air and You Fly,10-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | In the Air and You Fly,,to create
Interjektion,9-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Interjektion,,to create
Achternbusch for President,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Achternbusch for President,,to create
Grobmotoriker,9-/9,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Grobmotoriker,,to create
Pizza,8,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Pizza,,to create
Kobis Weinkrampf,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Kobis Weinkrampf,,to create
Schiessmuskel,7-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Schiessmuskel,,to create
Miranda Orange,8,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Miranda Orange,,to create
Elefantenschwanzcocktail,7-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Elefantenschwanzcocktail,,to create
Direkter Einstieg (Bad Fischau b),8+,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Direkter Einstieg (Bad Fischau b),,to create
Lausbua,5,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Lausbua,,to create
Comeback,7-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Comeback,,to create
Dreiecksdach,6+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Dreiecksdach,,to create
Chien Fatigue,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Chien Fatigue,,to create
Genusstour,4+,1-4,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Genusstour,,to create
All You Can Eat,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | All You Can Eat,,to create
Stay Hungry,7+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Stay Hungry,,to create
Stay Hungry Direkt,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Stay Hungry Direkt,,to create
Kroatisch Österreichische Freundschaft,4,1-4,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Kroatisch Österreichische Freundschaft,,to create
Salzburger Nockerl,5-,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Salzburger Nockerl,,to create
Vampirella,6+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Vampirella,,to create
Piazking,5+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Piazking,,to create
Django,7+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Django,,to create
Werwolf,6+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Werwolf,,to create
MC Donalds Massaker,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | MC Donalds Massaker,,to create
Pfeilerverschneidung,5,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Pfeilerverschneidung,,to create
Higher Level,7a+ trav,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Higher Level,,to create
Pfeiler,7,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Pfeiler,,to create
Trad ist Trend,8,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Trad ist Trend,,to create
Afrika,8-,8-11,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Afrika,,to create
Hödlmoser,5+,5-7,sport,UIAA,Fischauer Vorberge,Bad Fischau Klettergarten,Österreich Ost,,,Fischauer Vorberge | Bad Fischau Klettergarten | Hödlmoser,,to create
